Group,Lower Age,Upper Age,Nutrient No.,Value,Upper Limit
Infants,0,0.5,301,200,1000
Infants,0.5,1,301,260,1500
Children,1,3,301,700,2500
Children,4,8,301,1000,2500
Males,9,13,301,1300,3000
Males,14,18,301,1300,3000
Males,19,30,301,1000,2500
Males,31,50,301,1000,2500
Males,51,70,301,1000,2000
Males,71,120,301,1200,2000
Females,9,13,301,1300,3000
Females,14,18,301,1300,3000
Females,19,30,301,1000,2500
Females,31,50,301,1000,2500
Females,51,70,301,1200,2000
Females,71,120,301,1200,2000
Pregnancy,14,18,301,1300,3000
Pregnancy,19,30,301,1000,2500
Pregnancy,31,50,301,1000,2500
Lactation,14,18,301,1300,3000
Lactation,19,30,301,1000,2500
Lactation,31,50,301,1000,2500
Infants,0,0.5,320,400,600
Infants,0.5,1,320,500,600
Children,1,3,320,300,600
Children,4,8,320,400,900
Males,9,13,320,600,1700
Males,14,18,320,900,2800
Males,19,30,320,900,3000
Males,31,50,320,900,3000
Males,51,70,320,900,3000
Males,71,120,320,900,3000
Females,9,13,320,600,1700
Females,14,18,320,700,2800
Females,19,30,320,700,3000
Females,31,50,320,700,3000
Females,51,70,320,700,3000
Females,71,120,320,700,3000
Pregnancy,14,18,320,750,2800
Pregnancy,19,30,320,770,3000
Pregnancy,31,50,320,770,3000
Lactation,14,18,320,1200,2800
Lactation,19,30,320,1300,3000
Lactation,31,50,320,1300,3000
Infants,0,0.5,401,40,
Infants,0.5,1,401,50,
Children,1,3,401,15,400
Children,4,8,401,25,650
Males,9,13,401,45,1200
Males,14,18,401,75,1800
Males,19,30,401,90,2000
Males,31,50,401,90,2000
Males,51,70,401,90,2000
Males,71,120,401,90,2000
Females,9,13,401,45,1200
Females,14,18,401,65,1800
Females,19,30,401,75,2000
Females,31,50,401,75,2000
Females,51,70,401,75,2000
Females,71,120,401,75,2000
Pregnancy,14,18,401,80,1800
Pregnancy,19,30,401,85,2000
Pregnancy,31,50,401,85,2000
Lactation,14,18,401,115,1800
Lactation,19,30,401,120,2000
Lactation,31,50,401,120,2000
Infants,0,0.5,326,10,25
Infants,0.5,1,326,10,38
Children,1,3,326,15,63
Children,4,8,326,15,75
Males,9,13,326,15,100
Males,14,18,326,15,100
Males,19,30,326,15,100
Males,31,50,326,15,100
Males,51,70,326,15,100
Males,71,120,326,20,100
Females,9,13,326,15,100
Females,14,18,326,15,100
Females,19,30,326,15,100
Females,31,50,326,15,100
Females,51,70,326,15,100
Females,71,120,326,20,100
Pregnancy,14,18,326,15,100
Pregnancy,19,30,326,15,100
Pregnancy,31,50,326,15,100
Lactation,14,18,326,15,100
Lactation,19,30,326,15,100
Lactation,31,50,326,15,100
Infants,0,0.5,323,4,
Infants,0.5,1,323,5,
Children,1,3,323,6,200
Children,4,8,323,7,300
Males,9,13,323,11,600
Males,14,18,323,15,800
Males,19,30,323,15,1000
Males,31,50,323,15,1000
Males,51,70,323,15,1000
Males,71,120,323,15,1000
Females,9,13,323,11,600
Females,14,18,323,15,800
Females,19,30,323,15,1000
Females,31,50,323,15,1000
Females,51,70,323,15,1000
Females,71,120,323,15,1000
Pregnancy,14,18,323,15,800
Pregnancy,19,30,323,15,1000
Pregnancy,31,50,323,15,1000
Lactation,14,18,323,19,800
Lactation,19,30,323,19,1000
Lactation,31,50,323,19,1000
Infants,0,0.5,430,2,
Infants,0.5,1,430,2.5,
Children,1,3,430,30,
Children,4,8,430,55,
Males,9,13,430,60,
Males,14,18,430,75,
Males,19,30,430,120,
Males,31,50,430,120,
Males,51,70,430,120,
Males,71,120,430,120,
Females,9,13,430,60,
Females,14,18,430,75,
Females,19,30,430,90,
